,Smiles,Property,Value,Units
0,C=CC#N.C=Cc1ccccc1,Density,1.075,g/cm3
1,C=CC#N.C=Cc1ccccc1,Density,1.08,g/cm3
2,C=CC#N.C=Cc1ccccc1,Density,1.08,g/cm3
3,C=CC#N.C=Cc1ccccc1,Density,1.08,g/cm3
4,C=CC#N.C=Cc1ccccc1,Density,1.31,g/cm3
5,C=CC#N.C=Cc1ccccc1,Density,1.31,g/cm3
6,C=CC=C.C=CC#N,Density,1.15,g/cm3
7,C=CC=C.C=CC#N,Density,0.95,g/cm3
8,C=CC=C.C=CC#N,Density,1.085,g/cm3
9,C=CC=C.C=CC#N,Density,1.18,g/cm3
10,C=CC=C.C=CC#N,Density,0.99,g/cm3
11,C=CC=C.C=CC#N,Density,1.24,g/cm3
12,C=CC=C.C=CC#N.C=Cc1ccccc1,Density,1.05,g/cm3
13,C=CC=C.C=CC#N.C=Cc1ccccc1,Density,1.06,g/cm3
14,C=CC=C.C=CC#N.C=Cc1ccccc1,Density,1.03,g/cm3
15,C=CC=C.C=CC#N.C=Cc1ccccc1,Density,1.2,g/cm3
16,C=CC=C.C=CC#N.C=Cc1ccccc1,Density,1.2,g/cm3
17,C=CC=C.C=CC#N.C=Cc1ccccc1,Density,1.06,g/cm3
18,C=CC=C.C=CC#N.C=Cc1ccccc1,Density,1.04,g/cm3
19,C=CC=C.C=CC#N.C=Cc1ccccc1,Density,1.12,g/cm3
20,C=CC=C.C=CC#N.C=Cc1ccccc1,Density,1.06,g/cm3
21,C=CC=C.C=CC#N.C=Cc1ccccc1,Density,1.25,g/cm3
22,C=CC=C.C=CC#N.C=Cc1ccccc1,Density,1.1,g/cm3
23,C=CC=C.C=CC#N.C=Cc1ccccc1,Density,1.17,g/cm3
24,C=CC=C.C=CC#N.C=Cc1ccccc1,Density,1.25,g/cm3
25,C=CC=C.C=CC#N.C=Cc1ccccc1,Density,1.15,g/cm3
26,C=CC=C.C=CC#N.C=Cc1ccccc1,Density,1.15,g/cm3
27,C=CC=C.C=CC#N.C=Cc1ccccc1,Density,1.27,g/cm3
28,CCOC(=O)C(=C)C#N,Density,1.2,g/cm3
29,CCOC(=O)C(=C)C#N,Density,1.248,g/cm3
30,CC(C)COC(=O)C(=C)C#N,Density,1.125,g/cm3
31,C\C=C\C,Density,0.9129999999999999,g/cm3
32,C\C=C\C,Density,0.893,g/cm3
33,C\C=C\C,Density,1.01,g/cm3
34,C=CC=C.C=Cc1ccccc1,Density,0.9329999999999999,g/cm3
35,C=CC=C.C=Cc1ccccc1,Density,0.98,g/cm3
36,C=CC=C.C=Cc1ccccc1,Density,1.15,g/cm3
37,C=CC=C.C=Cc1ccccc1,Density,0.94,g/cm3
38,C=CC=C.C=Cc1ccccc1,Density,1.04,g/cm3
39,C=CC=C.C=Cc1ccccc1,Density,0.93,g/cm3
40,C=CC=C.C=Cc1ccccc1,Density,0.945,g/cm3
41,CC(C)=C.CC(=C)C=C,Density,0.917,g/cm3
42,CC(C)=C.CC(=C)C=C,Density,0.9329999999999999,g/cm3
43,CC(C)=C.CC(=C)C=C,Density,0.95,g/cm3
44,CC(C)=C.CC(=C)C=C,Density,1.13,g/cm3
45,CC(=C)C=C.C=Cc1ccccc1,Density,0.92,g/cm3
46,ClC(Cl)=C.C=CC=C.C=Cc1ccccc1,Density,0.9640000000000001,g/cm3
47,FC(F)=C(F)Cl.ClC=C,Density,1.7,g/cm3
48,ClC=C,Density,1.385,g/cm3
