,Smiles,Property,Value,Units,Notes
0,C=CC#N.C=Cc1ccccc1,Glass Transition Temperature,400.0,K,
1,C=CC#N.C=Cc1ccccc1,Glass Transition Temperature,377.0,K,
2,C=CC=C.C=CC#N,Glass Transition Temperature,245.5,K,
3,C=CC=C.C=CC#N,Glass Transition Temperature,270.0,K,
4,C=CC=C.C=CC#N,Glass Transition Temperature,248.0,K,
5,C=CC=C.C=CC#N,Glass Transition Temperature,248.0,K,
6,C=CC=C.C=CC#N,Glass Transition Temperature,247.0,K,
7,C=CC=C.C=CC#N,Glass Transition Temperature,241.0,K,
8,C=CC=C.C=CC#N,Glass Transition Temperature,240.0,K,
9,C=CC=C.C=CC#N.C=Cc1ccccc1,Glass Transition Temperature,373.0,K,
10,C=CC=C.C=CC#N.C=Cc1ccccc1,Glass Transition Temperature,377.0,K,
11,C=CC=C.C=CC#N.C=Cc1ccccc1,Glass Transition Temperature,373.5,K,
12,C=CC=C.C=CC#N.C=Cc1ccccc1,Glass Transition Temperature,390.5,K,
13,C=CC=C.C=CC#N.C=Cc1ccccc1,Glass Transition Temperature,378.0,K,
14,C=CC=C.C=CC#N.C=Cc1ccccc1,Glass Transition Temperature,390.5,K,
15,C=CC=C.C=CC#N.C=Cc1ccccc1,Glass Transition Temperature,378.0,K,
16,C=CC=C.C=CC#N.C=Cc1ccccc1,Glass Transition Temperature,378.0,K,
17,C=CC=C.C=CC#N.C=Cc1ccccc1,Glass Transition Temperature,378.0,K,
18,C=CC=C.C=CC#N.C=Cc1ccccc1,Glass Transition Temperature,378.0,K,
19,CC(=C)C#N,Glass Transition Temperature,391.0,K,
20,CC(=C)C#N,Glass Transition Temperature,393.0,K,
21,CC(=C)C#N,Glass Transition Temperature,377.0,K,
22,[K+].NC(=O)C=C.[O-]C(=O)C=C,Glass Transition Temperature,325.25,K,
23,[K+].NC(=O)C=C.[O-]C(=O)C=C,Glass Transition Temperature,347.33333333,K,
24,CCOC(=O)C(=C)C#N,Glass Transition Temperature,389.0,K,
25,CCOC(=O)C(=C)C#N,Glass Transition Temperature,413.0,K,
26,CCOC(=O)C(=C)C#N,Glass Transition Temperature,388.0,K,
27,CCOC(=O)C(=C)C#N,Glass Transition Temperature,406.0,K,
28,CC(C)COC(=O)C(=C)C#N,Glass Transition Temperature,403.0,K,
29,CC(C)COC(=O)C(=C)C#N,Glass Transition Temperature,324.0,K,
30,C=Cn1ccnc1,Glass Transition Temperature,411.0,K,
31,C=CC=C.C=Cc1ccccc1,Glass Transition Temperature,211.5,K,
32,C=CC=C.C=Cc1ccccc1,Glass Transition Temperature,221.0,K,
33,C=CC=C.C=Cc1ccccc1,Glass Transition Temperature,221.0,K,
34,C=CC=C.C=Cc1ccccc1,Glass Transition Temperature,323.0,K,
35,C=CC=C.C=Cc1ccccc1,Glass Transition Temperature,383.0,K,
36,C=CC=C.C=Cc1ccccc1,Glass Transition Temperature,375.0,K,
37,CC(C)=C.CC(=C)C=C,Glass Transition Temperature,210.0,K,
38,CC(=C)C=C.C=Cc1ccccc1,Glass Transition Temperature,288.0,K,
39,CC(=C)C=C.C=Cc1ccccc1,Glass Transition Temperature,312.5,K,
40,CC(=C)C=C.C=Cc1ccccc1,Glass Transition Temperature,320.75,K,
41,CC(=C)C=C.C=Cc1ccccc1,Glass Transition Temperature,271.0,K,
42,CC(=C)C=C.C=Cc1ccccc1,Glass Transition Temperature,231.0,K,
43,CC(=C)C=C.C=Cc1ccccc1,Glass Transition Temperature,237.5,K,
44,ClC=C,Glass Transition Temperature,354.0,K,
45,ClC=C,Glass Transition Temperature,362.0,K,
46,ClC=C,Glass Transition Temperature,354.0,K,
