,Smiles,Property,Temperature (C),Value,Units,Notes
0,C=CC=C.C=CC#N.C=Cc1ccccc1,Gas Permeablity-CO2,,4.13,cm3 mm/(m2 day atm),
1,C=CC=C.C=CC#N.C=Cc1ccccc1,Gas Permeablity-N2,,11.8,cm3 mm/(m2 day atm),
2,C=CC=C.C=CC#N.C=Cc1ccccc1,Gas Permeablity-O2,,90.5,cm3 mm/(m2 day atm),
3,C\C=C\C,Gas Permeablity,,1260,cm3 mm/(m2 day atm),
4,C\C=C\C,Gas Permeablity,,2696,cm3 mm/(m2 day atm),
5,C\C=C\C,Gas Permeablity-CO2,,9104,cm3 mm/(m2 day atm),
6,C\C=C\C,Gas Permeablity-H2,,2766,cm3 mm/(m2 day atm),
7,C\C=C\C,Gas Permeablity-He,,2145,cm3 mm/(m2 day atm),
8,C\C=C\C,Gas Permeablity-N2,,424,cm3 mm/(m2 day atm),
9,C\C=C\C,Gas Permeablity-O2,,1252,cm3 mm/(m2 day atm),
10,C=CC=C.C=Cc1ccccc1,Gas Permeablity,,34.8,cm3 mm/(m2 day atm),
11,C=CC=C.C=Cc1ccccc1,Gas Permeablity,,2048,cm3 mm/(m2 day atm),
12,C=CC=C.C=Cc1ccccc1,Gas Permeablity,,4346,cm3 mm/(m2 day atm),
13,CC(C)=C.CC(=C)C=C,Gas Permeablity,,36.4,cm3 mm/(m2 day atm),
14,CC(C)=C.CC(=C)C=C,Gas Permeablity-N2,,21.6,cm3 mm/(m2 day atm),
15,ClC=C,Gas Permeablity,,25.4,cm3 mm/(m2 day atm),
16,ClC=C,Gas Permeablity,,324,cm3 mm/(m2 day atm),
17,ClC=C,Gas Permeablity,,1.66,cm3 mm/(m2 day atm),
18,ClC=C,Gas Permeablity-CH4,,1.84,cm3 mm/(m2 day atm),
19,ClC=C,Gas Permeablity-CO2,,10.5,cm3 mm/(m2 day atm),
20,ClC=C,Gas Permeablity-H2,,113.8,cm3 mm/(m2 day atm),
21,ClC=C,Gas Permeablity-H2O,,18034,cm3 mm/(m2 day atm),
22,ClC=C,Gas Permeablity-He,,131,cm3 mm/(m2 day atm),
23,ClC=C,Gas Permeablity-N2,,0.78,cm3 mm/(m2 day atm),
